user_id,signup_date,initial_plan,country,acquisition_channel,email_hash
u_00021,2026-01-21,premium,CH,newsletter,639f2dec68558236d9671198faf072ccf54d66a232319b40a78fb25402e60d19
u_00022,2025-06-06,digital,CH,direct,960189ef4f921181aa2d0d9be8b81e5114e97d5c0a589e3ba571d6ef0c84801d
u_00023,2026-06-09,premium,CH,referral,686841c069a0abea8f4e6c16ab47ce5a19d83745e8a281bd2dd50a5d0528e998
u_00024,2026-04-15,digital,OTHER,paid_social,668df53d79dd00f06d00eb0011bbabe788225faa97d661be66edeb9c54c6a81c
u_00025,2026-01-27,digital,CH,newsletter,82e7d3f2416e486234fedcb7fba1a7380b47e13302f714931b802407062a1996
u_00026,2025-02-11,digital,CH,referral,c5b33ea25583c4fdf2d6539c54db5f13e13b925adf616a96e97ad464e1689258
u_00027,2025-08-25,free,AT,organic,a6aae70c072fcaf2f6b7e26012197e8a464e20d0074d3a7f8d61a6ff6d1c7890
u_00028,2024-12-02,free,CH,paid_search,64d69a9d1fdda10ea2797ea97cf9285100769a1fbddc6bc172a654a1b3a2e52a
u_00029,2025-01-23,digital,AT,paid_social,6cd5cb9b2abc7fb248e75bb370e2f58f505d38a6a6ed5ab817cd2cb4d584d298
u_00030,2025-12-22,free,CH,paid_social,31bb941507276f69f3fcb8bed744d25c456ec844c44270c0b569a58629971abc
u_00031,2026-01-16,free,CH,newsletter,a34c61a879f86dd1c87ace9157b19ff59a8e62a4b1fe622a1b70f8d0eef4a913
u_00032,2026-06-07,premium,DE,paid_search,c11752981570332b0c00403e05d02d2a82fb1b5d64869ed4818f5c9cdaa8be34
u_00033,2025-05-16,free,DE,organic,3a4067e08eb17b564ed7427c53424ea1ad90d0d68f11c19f92d959e1807d9acf
u_00034,2025-06-17,free,CH,organic,fe5235de6cf258e45b9e060789beddd7c8ac809839d8cb9f9953d13147f03d02
u_00035,2025-08-27,digital,OTHER,newsletter,0db8a579786adcc5cfdb5c82b2c874ac12a4e9034374b9c91c4af43d521fe3a1
u_00036,2025-02-07,free,FR,organic,0e25c07c219aedfbf4cfc7a032aa60327f0c5bd3d7a2e3e9038d0d75cbe44113
u_00037,2025-01-15,premium,AT,newsletter,a59762c133010a38753d3feb9c6b5e12b9491dfc796d65073e2df14cd1819e6c
u_00038,2025-09-01,free,CH,organic,299a9888478ab06c54bc7964dbdfe35da0e0b02f156c77d76f048f3fefa40a88
u_00039,2025-03-06,premium,CH,paid_search,f401a56bdb3ec22741cdc43057f547b364108e92a226995b87f2040c75784326
u_00040,2025-12-13,digital,CH,newsletter,2e5a22a162eb6d5e4169e2e81ec465fcc72af78df45e1e7af3cda2eb663add78
u_00041,2025-08-04,free,CH,paid_search,f12d70b3e869135d3dcc3e5641d4cbe92f51b97189396572ac6c2558c0ecb312
u_00042,2026-03-02,free,CH,newsletter,5623ff1fe23fdcfac862eaccdefa06eda7576bd6e338ee51a06b97a5d8192047
u_00043,2026-01-02,free,CH,organic,092e071c6f971ff69870e8bfe0eb2b240e843550eca24f09c0b633230b55667c
u_00044,2025-05-06,free,CH,paid_social,da5ef9d3c8eb689c1ffee755e49ccbd4a71c6c375e5117eda43256dac3070ee8
u_00045,2026-03-02,free,CH,paid_social,463afc2c2c2cb712b47cec1f46b46550a82082c20f7255c7ce04bf6cd5b5f755
u_00046,2026-02-10,print,CH,newsletter,0fff055634766aa537c650517d1b664a8446cc725804b17cb0761f77fdac8dd2
u_00047,2025-06-29,free,CH,organic,533bd3dd2d15bc6f7e3879494883045eb1454e27233e2e7f6fed0c25fc8e7bde
u_00048,2025-04-19,digital,CH,paid_search,7880895f629d16bb784ec6a20be65cc7c2ab50dab7b76a0aa355b3290ec539a2
u_00049,2025-12-22,free,IT,paid_social,0fb7e23e147421d3d00e377fbf69ff8d786a47b6126bfefa579952db79942998
u_00050,2025-01-18,print,DE,direct,ec40014359ce903c7b8fe748c6a9cab8bfa916b2e79bdc09f3d7e54eab87156a
u_00051,2025-02-15,free,CH,newsletter,6f9c8cf07a1cfc3a9484f896266ee9aa7709b42f891364274eb1f40268abc5c9
u_00052,2024-11-06,free,CH,newsletter,ce1b8aa137ffc9d843636ff42f025d0cefdf6ef4dd41ffd3a1f6a76180b189e2
u_00053,2026-01-30,digital,CH,paid_social,c4ceae491de01857173b7d5aef541d8f85ff5389ead0783119eefc3101eb0809
u_00054,2025-12-09,free,CH,paid_social,94310c239c1516d0614ada6a45398af5c381e53dadd973f7f2f785274c1e857f
u_00055,2026-01-04,digital,DE,newsletter,bde774f82225d056fef698dba4147940653ce659385b41b50f5f7b6c4ba2dc6e
u_00056,2026-01-28,free,CH,newsletter,b9e739348f3f8b3e3c2df9ae4355480fb2198e5bf1614ede33d0a1ee5f49e4fa
u_00057,2025-08-20,free,CH,newsletter,326e1f9fb3dc13dca28ef770ab3fe561632dd6276a7097a8cd98b063492e4a44
u_00058,2025-10-01,free,CH,newsletter,7d55c61be7f16cc1f2e5153ba0923e73f8640824db37f4559794d226237feeec
u_00059,2025-01-18,digital,DE,newsletter,359caae86c1dd0fa52637fedf1d3ecb28ca52531217cb96d076b773ddce31dc5
u_00060,2025-01-10,free,IT,organic,7361d5bbd47314b5f2544cb7c24ffe5cbd79e14c7f02f87d3b5e7696625cd4d5
u_00061,2025-12-12,free,AT,paid_search,4f680527971cc5244c107e7dc2c5533c583603f2bfcef2c3e853004f3f371525
u_00062,2025-08-28,free,CH,direct,308e0f632a7323457c0d662fec7adcab590974ffbaad31dac255f0a1b1b91f58
u_00063,2025-09-30,free,DE,paid_social,66cafb01c81912d70388cde4b15d557fdf2e2f4fcb184695653651d1d9861bd1
u_00064,2026-01-23,free,CH,organic,70c1f29762734adac88227eb518818bfc195c79f27557f7325966b4d0b306c1d
u_00065,2025-11-18,premium,CH,paid_social,cefc22ab7bfde83b0877f49b9ddbc32492920cbf14841710203f7714c5584454
u_00066,2025-09-26,free,AT,paid_social,f34769ac95ed5ea8491036164b5367e0a8a7bbd206358f5b30f93e1b9d55818b
u_00067,2025-09-28,digital,CH,newsletter,1cb2c355c701b365e12acd019b89d1073c68c5e636f191f0ff11eb929ac3d57c
u_00068,2025-04-30,free,IT,newsletter,e1893d5dda3527268041eb6eedb3045ab133a07f80620cecc66f835ecffbfccb
u_00069,2024-11-23,free,CH,organic,5411d8d201903b57b3e7eefbc887865a1a44c1554f9594b2684196e2cce7dc7e
u_00070,2025-08-04,free,CH,paid_search,0ada324d842b29ea1317f2304a91a7844ecae05e94bf58118649f018ab94a59f
u_00071,2025-02-25,free,CH,organic,a705af9a171b8059c2ce004960766e9d1ce7064840e22ca025f61e45f22ef86a
u_00072,2025-07-14,free,AT,newsletter,6a74d4e87bb7f0383f4a724726c8d440246d5eea293de4aadb9032a4915c2a0e
u_00073,2026-03-17,free,CH,organic,4d764957a8e7fbb994b71f84ee4c44a3bdfc52bd803bb1d83439ac5083cfa912
u_00074,2025-03-11,free,DE,paid_social,a8791b31ac9f6f7601f33f8c6d923f6226131eb93448b66c409fbf262920e1a3
u_00075,2024-12-12,print,CH,paid_social,a69fc598131a64a686e34a81caf346016b40faba70948e129986b0f05dd520f1
u_00076,2025-04-14,free,DE,paid_social,309c67e33e38e14ab12563de221bdeeb130035c5367fdf67f9ea149d05a1978a
u_00077,2025-04-23,free,CH,paid_social,b97e164c39b37bf86b4ea3743b9daf1e27889192f16cc93adb9d743dc37e6648
u_00078,2025-12-07,free,CH,referral,0595cac9b1542bcc1be665ef0a06effce5a2439d40c593edd41578b6a2fad90e
u_00079,2025-09-27,free,DE,paid_social,04a3392998c9c1baee786a0a60746fbe0d52feb3d4e2226486a7e35c9e4cb3b8
u_00080,2026-01-29,digital,DE,organic,08628d14157a064f6495d74e954c9a1270afd6a58933d8f5930f5776e6145b3f
u_00081,2025-12-09,free,CH,paid_search,5a340bd7a809b28107858bc798cd64fdec03d947990de23521db84892bde988f
u_00082,2025-07-13,digital,CH,paid_social,86f073de5edb796880309f71acf2b13e2a9a96c0198b2f4d44108419c59af367
u_00083,2026-02-17,free,CH,paid_search,02df14fc3fcd923ae0e56c9159ad9bc8400242b08a3f3d451a1ec32d44f44b84
u_00084,2025-01-27,free,FR,referral,dc07133949fa14f873ad43c2a2ef0a67d903124364d1bc871d731e866e1adc9b
u_00085,2024-11-17,premium,CH,paid_search,acf13f48f8e9ee67129ac067417d6923eab5d03d1ae1f14163fd1dbc356a8d79
u_00086,2025-01-02,free,DE,newsletter,743dd7e537bc32ca7411bb40bb833ffc0026d0017bc909326dfa0e6c2338c629
u_00087,2026-01-09,digital,CH,organic,e0782d9c87d1a2b80b05261ee9e7b1b8e6869812f38a7ccb618f0f01da545b6a
u_00088,2025-08-22,free,DE,referral,08b9ea2b4fdf69b5c3545e09c93df7bee17b2f4c0709db5ba64122f60b8aa947
u_00089,2025-01-25,premium,CH,organic,c92e7704fed311a6f1dad69e4ac38f0893539333d9488645dc490159bffb05a8
u_00090,2025-09-09,free,CH,paid_social,9ec406a42f72db7d382cc3bcce9a38d8768cbc4c15554361b3ed9320ae2e219b
u_00091,2025-01-22,free,CH,paid_search,4d756fce955aa294bb309933cc81fbbf04a93fba064f9b4333526e7c510aac64
u_00092,2026-01-01,digital,CH,paid_social,0e7bc47b903c1fcab33ccc2908a13dcb9fdac914c22787d14024c8e36b993df0
u_00093,2025-08-10,free,CH,organic,505d5fd4ae58c22e01543b7f5b600f84de945a4fabc6d71be680bc0cc214fc22
u_00094,2025-06-25,free,CH,newsletter,73e712fea071cc6f1db841b1ae3c9a3299bdc2308079129410f6bea9254bfaf7
u_00095,2025-04-29,print,AT,paid_social,c8369c1270bd7337f9339962517ba7891988b015507221c29e5517f326314e78
u_00096,2025-11-14,digital,CH,direct,e1d5edf3b835c044e912391a08451dcf6f233ece66d8592cd64c4bddddc2c43d
u_00097,2025-06-11,digital,CH,referral,a8c87493a6435fbfc57c83eb8d2f9cafaa47a178894a9b6fc092e148e227d5b6
u_00098,2025-01-01,digital,IT,paid_social,42b0923638678f28d43ab29872654392c3fa23de3046061c081143461f30bd22
u_00099,2025-01-11,digital,CH,newsletter,1f55adb6f18827f80d05abf23f8518b2e45bd7fd62fd54329c2f1976e017127c
u_00100,2026-06-03,premium,CH,organic,d1e7df442f5ea06ecfd59a60281b0945fd060940b1bc7713f68835b07ceac5ca
u_00101,2026-04-26,digital,IT,paid_social,398930641573f5a1a374376dccdf8cfdb6c922844b285e3d2a4dd72370725633
u_00102,2026-01-02,free,DE,paid_search,6bda89cbea3469652e7efb2ae1d2f3a65c0946d7b23ef07efe8509154c6a98c6
u_00103,2025-04-03,free,FR,referral,465e20de4c27c9456dd65a427d3aa74515259bd5ca169cd1279c14c08d87c75e
u_00104,2026-06-08,digital,DE,organic,b0dea2b666f425892191746a5191ebe911ac05812351dc4d70f7345af79319f8
u_00105,2026-01-28,digital,CH,paid_search,eebaf9ed130152f5bf35503f698b845dece8b3f375eead6f24ea4eb902b5464d
u_00106,2026-01-07,free,CH,paid_social,058f7da6c52552d200876662635391f195579f5fcfce89b715f054f6c10f33f9
u_00107,2025-08-13,free,CH,paid_search,a1ad93ff7c6516964298715724f2b11bb6296f44b695c3b382a06f4f6b59f7ba
u_00108,2025-04-08,free,FR,organic,e870269cf6cee6d046d1fec8aac743bde3e54d7f97e6ae53247233824a8ed472
u_00109,2025-01-04,free,AT,paid_search,94e63d1d170110fc2f05637a6ce5f22a707fd329bf774f3a9d29fdfd1339571a
u_00110,2026-04-22,digital,CH,newsletter,2ad814cfd42c6266fda67368b4e4ffe0e4c2ffa0beb1aaa9a805c6716d67da55
u_00111,2025-08-17,free,CH,organic,defb6260a7435729fd5f10673da76dbc4d510e618d4dd6e74e2ebc6c7e4d8c0b
u_00112,2025-02-16,digital,CH,paid_search,0b0082b64bba09f6a57450f138d33579997e9f7960292cdd0fc88bd59c85cd57
u_00113,2025-05-02,digital,CH,direct,6e6d57f89196adb2365cbe0d8f3ebbba591afa79938555dd9434d266bd8e1d7d
u_00114,2025-10-09,premium,AT,direct,2071bf10ea2ef163c886aaded34075b6192b402714079b4bcf39648f2f686e96
u_00115,2025-01-30,free,CH,organic,a9373bc86fedfa5d10ef79d48b6e0edd2ee72050ba71527538dc47aca347882b
u_00116,2026-03-20,premium,CH,paid_social,d325682327d4684bec099d54303a1fd7b7a89d23b2f7ffa1c691b7060415a0d3
u_00117,2026-01-21,digital,FR,organic,568c4d686876ab622d43ad02a43c2ec1f422e5b28fc789d8a4b721c00c0294be
u_00118,2026-01-08,digital,CH,direct,963e126374b2c347d40435366abec88bd94c03ce1ea34593edfc4d40884272d1
u_00119,2025-07-31,free,CH,paid_search,2c7c56692ab3ee08d2cd6d3966c9600b4df907260dd8971c3cd6abb5403b796f
u_00120,2025-11-12,free,CH,paid_search,5fa20896814daebb8a8797559608467441d9c3e6e66d35c4abda6396d8bee017
u_00121,2025-10-12,digital,CH,organic,f80247470d5ae977c7f17bd697098f63f9a8ddffa6259592a494d4ced1df4082
u_00122,2025-11-28,free,CH,paid_social,73ad234aece6450d8c0c9864b97c253ae4889489e3a99f8aed01a746433c0938
u_00123,2024-12-31,free,CH,organic,8fb2cd39a36c57d8f1d41abf7bf6eb204470f2c328c231b29075d1d2575a3dac
u_00124,2025-07-20,digital,CH,newsletter,785d4b639001c40c2fcaeba681c238244317c2d9ccb29744d0e356bf0445a606
u_00125,2024-11-30,digital,CH,paid_search,6b84fa690b6de71dd508501809f57eb8569a58a8adfe893f20da6c5d504dbe3c
u_00126,2025-09-06,free,CH,paid_social,1a2596d3a18539dc3f0f1975b4dc7b26b63e652a26150ab7dcb39858d544ec74
u_00127,2025-05-19,free,CH,newsletter,3aeab05898521031d10578f915990d45160fab398027a24a7e8c2d452ea991e6
u_00128,2025-01-20,free,FR,organic,978828c7989542d8ebd96881365c1b815260cd5fa3716c68368cbf5d398d9bca
u_00129,2025-01-06,premium,CH,organic,300f126fc2a4d0b15e34a1e493693b9b470cb5a2706928ec01d2fcea34a9b805
u_00130,2025-10-15,print,CH,paid_search,53eb41c1b598b5e30a7763befff3ca266dc719b84d95030460bb90b69a1bfbfe
u_00131,2025-01-28,free,AT,newsletter,eab1395aef727c9c985948cfb44aa3ceea8495657fa72da68f99a7ca73ad42fa
u_00132,2026-05-08,free,CH,organic,080c30ca96a48fb2a37f9b91bdc910ca138c0ee8de929acff3c7226213e8783e
u_00133,2025-10-10,free,CH,newsletter,b4f103d734cb1ffff59826d2f28a2954f6fd370396ceaa012f2cb66054161596
u_00134,2025-05-31,free,DE,paid_social,30e3fc634e9d020c5cc1481d8cd9f31c265a4f9a90ded201e326764e08eaa7b9
u_00135,2025-10-17,premium,CH,paid_social,e42cfe7db08b8e2f3db21a48cd93e7e87612f9d1d2ef64abf37c23e09de965d4
u_00136,2024-11-17,free,CH,paid_social,f2dbefcaff7578a80bad97749594ea0e9a97c2114c2a46fd576eef3e3c3c93f6
u_00137,2026-06-01,free,DE,organic,7f5983a0df36ba2c27dd6d1f7927dd47be1d0feb3990d13796e50057d772cac5
u_00138,2025-09-03,free,CH,organic,3368f948101f039664d7c4beb7b015a7e07c4d5cb8c9e4feebf0ceed6b8e1162
u_00139,2026-01-29,free,CH,referral,280926949da6c2fb7032b734df5cb01d12bde89bb2ef00060978b56e19cd465e
u_00140,2024-12-30,digital,CH,paid_search,4656dac82bb4570c27e766c77161e110012ff193669fcc79f103cdd8fe9c5cf9
u_00141,2025-09-04,digital,CH,paid_social,e7fb9865647f516424b2acaa018c4a2171d848fd8df8ba50605551e31e860d32
u_00142,2025-09-05,digital,DE,direct,1be8e573163190433c02341e1975af4229a8dd5c018c894f91598c02b0e964b3
u_00143,2026-05-17,free,CH,organic,415aa551cc75f7020f171d9193133f0d64288f0f3e731a0c192d8b11a3ce2ec9
u_00144,2025-10-03,premium,CH,paid_search,17b1f6732301b092a3f3a5198917ffbfcb3d1aadb25a90e0350f220e8cea90f7
u_00145,2025-08-30,free,CH,paid_search,352a5065c690b6cb9ecd85f4000a76a8441492cb678e63afe77f8f8b420172f3
u_00146,2025-04-04,digital,AT,organic,2bbff89c10f8b87d158e5935833d9011f5f4e6b27917c24879c9378f458de23a
u_00147,2025-05-20,premium,CH,direct,0a4a3e9d45779b56062c8b6a083c3354f7cf29c5241e4606a3015f22e11cfc94
u_00148,2025-09-15,free,CH,direct,113a340fe1051de570c76a0bce4fbfad8e1afa4a21974ef04a588fdc19874298
u_00149,2025-08-05,premium,CH,paid_search,32ee91f97438d39e20658f8019d8275d277d0354a35b0b8eef13c6fd4d50cbc1
u_00150,2024-11-16,free,CH,direct,6343d78c7041257cb44285596e494b41981894a18aabc1829e9c68264d2653b6
u_00151,2026-02-26,digital,CH,organic,61299ecafa7944f0e3a09c26b7c26fbac8ca10aa358cff8ae707f9edeb59b035
u_00152,2026-04-17,free,AT,direct,5bc3dfde2261da18e69be728f9fd17b23844bf3b8b9a22f43a292be8a161a04b
u_00153,2025-01-19,free,CH,newsletter,9418f5a590be99785c8196be9ee57f58a063b0033bdf865c73f1bddbfbfa62b8
u_00154,2025-09-26,free,CH,organic,2f12930196d1e37ed3af607b0822ea89371470540cba05d8f83951beafddad75
u_00155,2025-01-08,free,CH,paid_social,5c8f5d94ad4c1fe7bb3f50124dde4fac8d889d24be763a3ecd12413f77fa885f
u_00156,2025-12-15,free,CH,newsletter,07fa0ac8783a9637d9558f9b94616dde71c3111f0f70516cba6275d7e588e65c
u_00157,2025-04-14,free,CH,paid_search,69b11e8d7fead22ecc5c3ae3d2db91fd289708777e66f4994f04e181e4d902b4
u_00158,2025-12-05,digital,DE,paid_search,c5c3e31ee215b158666f8fa5bafe735320d3bb21b1b088bb5ef7d67b5c0f3cc1
u_00159,2026-01-11,free,CH,paid_social,d0947d08d4aee393496abfebd881f516fc9b3fec22e8aa19a3dc75794e6ebbf9
u_00160,2026-01-24,free,DE,organic,c1ca414c43d6d921f4d6f196bd5c2c3614092b60e05634276ae6fd2fe6270197
u_00161,2025-01-08,print,CH,organic,a5f8dd5eb88e3b1ba6df64393f36d7f278bbe7cc51e72e72a08294722d61f641
u_00162,2026-05-01,premium,CH,organic,4377729bf3bf6b6db8aadf20f1a3933eef37c16d3135c57f28013c9ba1352a8b
u_00163,2025-03-08,free,CH,referral,dc6ce6926c2300af2e0f0ee665bd7a1386f099d368c31b2da46fff05483492f2
u_00164,2024-11-27,free,CH,paid_search,d1cd986f35a24a7bcb70db2c5726928ff200b589ba6a6b784a98af4d80da0fb2
u_00165,2025-09-26,digital,CH,paid_social,f3df54f3c332d3b290567e21f42cca7633609f70a7cea4b3243a7b96abf8a7b8
u_00166,2025-06-17,digital,FR,organic,9905a6d3625e80bb2f2556ace32631b71cbb9e91dd240445421e8f0140c02235
u_00167,2026-02-28,free,AT,organic,2bd91d7825ab7f00c8dc395c026cbe71f5b50b1c700c3377e710ff90049d3420
u_00168,2026-02-13,digital,DE,paid_social,cd32cea20e389776dac8f6917074d380b2fe4c17be6bba676a90f2a76b79255c
u_00169,2025-05-10,free,AT,organic,4969b1bcd266a7bb67aeb6c0e09049014446ef00c231fa9fbada6dceb2477d21
u_00170,2026-05-28,free,CH,paid_social,030c705784b7c4f1da4838b7f40525e980f2683ced8fac61287df477b97c9f4e
u_00171,2025-04-21,digital,CH,paid_search,a40a2f797fdf9cf2cd16700058ec7c4088182940c03911af8730ac80f164bf5b
u_00172,2025-09-13,digital,CH,paid_social,e80066d1974acb9c070686d3e09f51637eabdef5c1101b642dc770d856c8f5ca
u_00173,2025-03-27,digital,AT,paid_search,9e0a347fa14a88644a884ba016a6dad4b6f23ecf9b73fcface97c88dbb79107e
u_00174,2026-05-16,free,CH,newsletter,56915cdbb14c55f77d476ef514bee7e7e7056d9f6dc72090837df70043f3ca6e
u_00175,2025-01-26,free,CH,organic,29811784668d58096d711e2b4f1538f68de04e794dad7808ee80c716f6bce993
u_00176,2024-12-03,free,CH,newsletter,3fbe915d09e29b44a52c0b1e5a6492b027b2b602186c125c8669de9edc18af4e
u_00177,2025-08-02,free,CH,organic,eec2ab3e1b194e692f075c53a5bf86ec5da57d3521938f2c4131c3172faccfd7
u_00178,2026-06-25,free,DE,organic,0d257ed0ad214630d67d5146ba9d45869ce3f3fd7f708268b6449bd6feb2651b
u_00179,2026-04-14,free,CH,paid_social,fe1889c9fb98e7d688012366a7a860abbcfaac9eb952ccf1c8001cfaf4d3ede0
u_00180,2026-01-18,free,CH,organic,a89893ed44dbd100af85df7438edd942e7437e4047ef117f989c9d2d91b6ee0b
u_00181,2026-04-13,digital,AT,paid_search,7979ea2f9747db19a2ef6194892366c6b39d3941f1304084443b422f295e323b
u_00182,2026-04-15,free,CH,newsletter,1770458531963e59aa7151d31bbeef02ab51d0743886c6391bd499c046ef5992
u_00183,2025-09-15,free,CH,newsletter,34dbce3243985b34e2c591af55fd1efcdf7eab4c4bb295d2762b4583807b54bf
u_00184,2025-05-09,digital,CH,paid_social,b80ab96996f681e034634e190894f845b9278369a344bac234cb0510c7d9cff2
u_00185,2026-01-25,free,CH,direct,d8378ca0578d8702df497287574cfb766021e54f1c3fb5df635e571cb9fd5cce
u_00186,2025-12-07,premium,CH,paid_search,8a1148f6ef215a62c69a66c86380bb9c7f2833908eb0a357c1bffe7e58215d11
u_00187,2025-06-19,free,CH,organic,542e9a51b165f66cb50f8223961d41bde113dac1c3e541a5b04e912db9f2bac0
u_00188,2025-01-04,free,CH,newsletter,f8834a8526416354329a900df6cb39ba9bb576ceecedf4e289c785eb0b604ec6
u_00189,2026-01-17,premium,CH,organic,32890ccbf89a95839634ded1f9676f782248787370290ec6b0e0ac8c60fbb2c2
u_00190,2025-04-01,digital,CH,organic,73d38f7badc715c061009a37f6297d30b8f98d91f4ab48bfd7af78d7a601e0b2
u_00191,2026-05-16,digital,FR,organic,2185ead744475bebb287b98e48eca3bcfec7b2b053f1ff3ff7a43158b5f27a30
u_00192,2025-03-16,digital,CH,paid_search,a3843f86cf55727a2a60de1b8de8dd6488a8ded81be9023fdf6361b7b73e24ca
u_00193,2025-01-13,free,CH,paid_search,5ad78975283fa4a831ee9a7c5500467bc659d237643295acc47ef84c7ade5c51
u_00194,2026-03-01,digital,CH,paid_search,566de709fba5a3c27a256a7758c1dde94fcefc11cf1517d1f505b3f144e7550a
u_00195,2025-01-23,premium,CH,paid_social,5edc462dfeffceff9f3876a9f02d6402018cf6669ca9d7989f951b7c5f64ec89
u_00196,2025-01-31,print,AT,referral,d63583e91932eb4c36de6aadc2c106435113a84fe0d47d83aeb6f3af0a8b37da
u_00197,2025-10-23,free,CH,direct,d5abbf1b6958128e260285ba3af712b95a5d30ab75df94f9b6f0d4a67fac3346
u_00198,2026-04-02,free,CH,organic,f101bb32eb70bf34c517b5abb477f6de39a206d4c15ec010552a7a2ede330580
u_00199,2025-02-12,digital,CH,organic,8c974f2f5f73fb845447470f1c431fda1eba73ecf54e6d31e97017a88c5c81c7
u_00200,2025-05-05,free,DE,paid_social,d03110fae3bf9bcdfb131dd14a7f10b590a8aeed3b11ffef04c70e408e521a1e
u_00201,2026-01-27,free,CH,organic,e512effb9ad48f3d97735379e0d5e08b887e5f8451c3502901269a7ec6fde978
u_00202,2026-06-10,free,DE,paid_search,ca32fedd5ca8176df0d7a887f4c3d3d66543b317d6c30daebc7dd78a479c7633
u_00203,2025-09-09,free,CH,paid_social,42e66e0884fca679bcf5235637d4faa6e8ae42f7740fe8fdd8ccd6ebed415f64
u_00204,2025-01-20,free,CH,newsletter,f7df1e74639e9ce84082c8ee68d551ca938ac9b306f1a8a6b0f4440484afcc3b
u_00205,2024-11-10,free,DE,organic,18e75960c9d3819cf3636b2037c7e38d9eb072101ff2f570bda0873a973b0e4f
u_00206,2025-03-08,free,CH,paid_social,903922300d9a47a6cf383f8e723e6aed9b1b23e9f58cafe41e275843421990b2
u_00207,2025-01-16,free,CH,paid_social,f1b11f714be89a74962763b2536d1a1b5552988cbab3ea8063bd7726106d2a15
u_00208,2025-12-18,premium,CH,newsletter,d3e2ac8d63bb4a345cbcd70a189e57997291c1e80226c21f8b5daa2f1e50b139
u_00209,2025-01-13,free,CH,paid_search,19565086d434fd3fca565723ccef5adba7142157423add118b14e3dd041c2ea6
u_00210,2025-09-11,free,CH,referral,6286c9677ba54f1a8d8047b73396d416bcf1cdb827217030271b5d550cb65fa8
u_00211,2025-12-30,free,CH,referral,8185709cbc7f38dcc585a524b2910f0c54bda0ac53a111c8845b2869d08a7e03
u_00212,2025-10-10,free,CH,organic,d1363976321b2a579905856afc6f8f275a823a4d4e83cea8cc757c60b3de4f2c
u_00213,2025-02-15,print,CH,paid_social,d1753ae49491d55ad7151de17dadeb9c59c88b5ed19636a5b3d06e7c3c55636a
u_00214,2026-02-10,premium,CH,paid_social,59876fa89ea681d8a44a2384785d4ed5fc4f4ca684325fb0556922bf57feb29c
u_00215,2026-01-07,free,DE,organic,d48ced03c902c3472d27a19c965bd8e27c3c905b1c6d913c3d9cfffd9000e26a
u_00216,2026-01-15,free,CH,paid_search,b1c855fd39db15f9a1d7a395df450b5f757584bad7faef51055300398e3046b3
