article_id,section,topic,paywall_type,publish_date
a_00224,international,asien,metered,2025-02-01
a_00225,meinung,kolumne,metered,2025-07-01
a_00226,politik,abstimmungen,metered,2024-12-01
a_00227,feuilleton,musik,metered,2024-12-13
a_00228,international,europa,metered,2024-11-04
a_00229,sport,tennis,premium,2026-05-01
a_00230,technologie,cybersecurity,free,2025-08-28
a_00231,politik,usa_politics,metered,2026-02-18
a_00232,politik,abstimmungen,free,2026-03-12
a_00233,wirtschaft,banken,metered,2025-02-09
a_00234,meinung,kolumne,metered,2025-12-13
a_00235,meinung,kolumne,metered,2025-11-11
a_00236,politik,eu,metered,2026-06-25
a_00237,international,klima,metered,2026-04-15
a_00238,meinung,gastkommentar,metered,2025-11-06
a_00239,feuilleton,musik,metered,2025-12-16
a_00240,sport,tennis,metered,2025-09-06
a_00241,meinung,kolumne,premium,2025-10-21
a_00242,lifestyle,reisen,free,2025-10-20
a_00243,politik,eu,metered,2026-04-21
a_00244,meinung,gastkommentar,metered,2026-04-20
a_00245,meinung,gastkommentar,premium,2025-03-15
a_00246,lifestyle,reisen,metered,2024-11-09
a_00247,feuilleton,literatur,metered,2025-04-08
a_00248,feuilleton,theater,premium,2025-08-11
a_00249,lifestyle,gesundheit,metered,2025-03-14
a_00250,lifestyle,essen,premium,2025-07-08
a_00251,lifestyle,familie,free,2025-07-22
a_00252,lifestyle,reisen,metered,2026-06-02
a_00253,politik,usa_politics,metered,2025-07-25
a_00254,technologie,climate_tech,free,2025-02-22
a_00255,technologie,startups,metered,2025-07-07
a_00256,feuilleton,kunst,free,2024-11-16
a_00257,sport,ski,metered,2024-11-18
a_00258,international,klima,premium,2025-11-19
a_00259,wirtschaft,makro,premium,2025-04-02
a_00260,lifestyle,essen,metered,2025-11-15
a_00261,feuilleton,film,free,2024-11-23
a_00262,lifestyle,essen,premium,2025-05-13
a_00263,meinung,kolumne,metered,2025-10-15
a_00264,politik,abstimmungen,metered,2025-09-24
a_00265,politik,nahost,premium,2025-10-27
a_00266,lifestyle,essen,metered,2025-10-29
a_00267,lifestyle,reisen,metered,2025-05-15
a_00268,wirtschaft,makro,premium,2025-06-03
a_00269,technologie,gadgets,metered,2025-07-06
a_00270,meinung,leitartikel,metered,2025-07-14
a_00271,politik,usa_politics,premium,2026-02-21
a_00272,technologie,startups,metered,2025-01-26
a_00273,wirtschaft,makro,premium,2025-10-07
a_00274,sport,ski,metered,2026-02-12
a_00275,politik,bundesrat,premium,2025-05-27
a_00276,wirtschaft,immobilien,metered,2025-06-25
a_00277,international,europa,metered,2025-12-17
a_00278,meinung,leitartikel,metered,2025-11-27
a_00279,technologie,ki,premium,2025-10-03
a_00280,feuilleton,film,premium,2025-07-17
a_00281,politik,nahost,metered,2024-11-29
a_00282,meinung,kolumne,premium,2025-02-07
a_00283,wirtschaft,makro,metered,2025-08-23
a_00284,politik,usa_politics,premium,2025-12-31
a_00285,sport,fussball,free,2025-03-03
a_00286,sport,olympia,free,2025-07-12
a_00287,politik,bundesrat,metered,2025-03-30
a_00288,meinung,leitartikel,premium,2025-02-21
a_00289,sport,eishockey,free,2026-05-01
a_00290,international,amerika,metered,2026-05-21
a_00291,politik,abstimmungen,free,2026-06-21
a_00292,sport,ski,free,2026-04-27
a_00293,lifestyle,essen,metered,2025-07-04
a_00294,sport,eishockey,free,2026-01-16
a_00295,wirtschaft,makro,premium,2025-04-22
a_00296,international,asien,premium,2025-10-16
a_00297,feuilleton,film,metered,2025-04-03
a_00298,international,europa,metered,2025-11-15
a_00299,lifestyle,familie,premium,2025-07-15
a_00300,technologie,gadgets,metered,2025-06-07
a_00301,lifestyle,essen,free,2024-12-23
a_00302,meinung,leitartikel,metered,2025-04-09
a_00303,technologie,climate_tech,metered,2025-07-26
a_00304,feuilleton,literatur,metered,2025-10-26
a_00305,politik,bundesrat,metered,2026-03-23
a_00306,meinung,gastkommentar,premium,2026-01-24
a_00307,lifestyle,essen,metered,2025-09-28
a_00308,lifestyle,familie,metered,2025-08-28
a_00309,lifestyle,gesundheit,metered,2025-08-12
a_00310,international,amerika,metered,2026-04-28
a_00311,meinung,gastkommentar,metered,2026-03-24
a_00312,wirtschaft,boerse,free,2025-06-24
a_00313,wirtschaft,banken,metered,2025-10-09
a_00314,feuilleton,film,metered,2025-06-17
a_00315,international,afrika,free,2025-10-10
a_00316,international,asien,metered,2025-07-17
a_00317,technologie,climate_tech,metered,2026-03-31
a_00318,lifestyle,gesundheit,free,2026-01-02
a_00319,feuilleton,theater,premium,2025-02-14
a_00320,technologie,climate_tech,metered,2024-11-17
a_00321,wirtschaft,makro,free,2026-06-06
a_00322,politik,abstimmungen,premium,2025-06-03
a_00323,technologie,gadgets,metered,2025-01-31
a_00324,technologie,startups,premium,2026-01-25
a_00325,meinung,kolumne,metered,2025-08-15
a_00326,sport,ski,metered,2025-10-03
a_00327,meinung,gastkommentar,metered,2025-11-22
a_00328,feuilleton,musik,premium,2025-05-08
a_00329,feuilleton,literatur,premium,2025-10-11
a_00330,feuilleton,film,metered,2025-12-04
a_00331,feuilleton,kunst,premium,2025-11-08
a_00332,feuilleton,musik,free,2026-05-01
a_00333,wirtschaft,banken,metered,2025-06-26
a_00334,meinung,gastkommentar,metered,2025-09-03
a_00335,sport,ski,metered,2026-01-30
a_00336,wirtschaft,boerse,metered,2026-01-23
a_00337,international,europa,metered,2026-06-28
a_00338,meinung,gastkommentar,free,2025-03-01
a_00339,wirtschaft,makro,metered,2026-05-13
a_00340,politik,nahost,free,2025-08-15
a_00341,politik,eu,metered,2025-03-11
a_00342,sport,tennis,metered,2025-04-26
a_00343,wirtschaft,banken,free,2025-06-02
a_00344,international,europa,metered,2026-06-26
a_00345,sport,eishockey,free,2025-01-06
a_00346,technologie,ki,metered,2025-03-13
a_00347,wirtschaft,unternehmen,premium,2026-01-08
a_00348,politik,bundesrat,premium,2026-05-30
a_00349,feuilleton,theater,metered,2024-12-19
a_00350,technologie,startups,metered,2025-07-07
a_00351,lifestyle,essen,free,2025-07-07
a_00352,wirtschaft,banken,metered,2025-08-30
a_00353,feuilleton,musik,metered,2026-02-07
a_00354,sport,olympia,metered,2025-09-15
a_00355,feuilleton,kunst,premium,2025-01-24
a_00356,feuilleton,kunst,premium,2025-03-27
a_00357,international,klima,metered,2026-01-23
a_00358,international,amerika,metered,2025-03-26
a_00359,feuilleton,film,metered,2025-08-29
a_00360,politik,nahost,metered,2025-06-17
a_00361,feuilleton,theater,premium,2025-07-25
a_00362,international,amerika,metered,2026-01-27
a_00363,international,europa,metered,2025-03-28
a_00364,technologie,cybersecurity,free,2025-12-31
a_00365,technologie,climate_tech,metered,2026-02-06
a_00366,feuilleton,theater,metered,2026-06-29
a_00367,sport,eishockey,free,2025-08-02
a_00368,international,amerika,metered,2024-12-24
a_00369,wirtschaft,unternehmen,premium,2025-12-10
a_00370,sport,tennis,metered,2026-02-04
a_00371,international,europa,free,2024-11-20
a_00372,technologie,cybersecurity,free,2025-02-27
a_00373,politik,abstimmungen,metered,2025-05-28
a_00374,lifestyle,gesundheit,metered,2025-09-07
a_00375,politik,abstimmungen,free,2025-09-09
a_00376,feuilleton,musik,free,2025-02-28
a_00377,international,asien,metered,2025-03-02
a_00378,politik,usa_politics,free,2026-05-23
a_00379,wirtschaft,banken,free,2026-01-11
a_00380,lifestyle,reisen,premium,2025-09-04
a_00381,technologie,gadgets,premium,2025-05-21
a_00382,wirtschaft,unternehmen,premium,2025-08-12
a_00383,feuilleton,musik,metered,2026-06-10
a_00384,international,amerika,free,2025-05-06
a_00385,meinung,gastkommentar,metered,2025-05-20
a_00386,feuilleton,theater,premium,2025-07-31
a_00387,wirtschaft,unternehmen,metered,2025-02-23
a_00388,sport,fussball,premium,2025-01-07
a_00389,feuilleton,theater,metered,2026-04-26
a_00390,sport,tennis,premium,2025-12-21
a_00391,politik,usa_politics,premium,2025-05-24
a_00392,sport,olympia,free,2025-10-13
a_00393,wirtschaft,immobilien,metered,2025-08-29
a_00394,international,afrika,metered,2024-12-31
a_00395,feuilleton,theater,metered,2026-02-02
a_00396,wirtschaft,boerse,metered,2025-01-02
a_00397,feuilleton,musik,metered,2025-10-12
a_00398,meinung,gastkommentar,metered,2025-04-27
a_00399,technologie,ki,premium,2025-07-24
a_00400,feuilleton,literatur,metered,2025-08-15
a_00401,technologie,gadgets,premium,2025-07-23
a_00402,wirtschaft,banken,metered,2025-03-16
a_00403,wirtschaft,banken,premium,2024-12-21
a_00404,feuilleton,film,metered,2025-01-19
a_00405,technologie,startups,metered,2026-01-16
a_00406,meinung,leitartikel,premium,2024-12-29
a_00407,sport,fussball,metered,2025-09-04
a_00408,meinung,leitartikel,premium,2025-05-05
a_00409,wirtschaft,banken,metered,2025-12-28
a_00410,feuilleton,musik,metered,2025-11-18
a_00411,technologie,startups,metered,2025-02-20
a_00412,international,afrika,free,2025-12-17
a_00413,politik,eu,metered,2025-12-05
a_00414,feuilleton,film,free,2025-04-21
a_00415,international,klima,metered,2026-03-26
a_00416,lifestyle,gesundheit,metered,2025-07-26
a_00417,feuilleton,musik,free,2024-11-21
a_00418,politik,eu,free,2025-11-17
a_00419,meinung,kolumne,metered,2025-08-01
a_00420,technologie,climate_tech,free,2025-06-07
a_00421,feuilleton,film,metered,2025-08-01
a_00422,feuilleton,theater,premium,2026-06-18
a_00423,technologie,ki,free,2025-06-24
a_00424,meinung,gastkommentar,metered,2025-12-26
a_00425,feuilleton,musik,premium,2026-04-01
a_00426,lifestyle,familie,premium,2025-10-18
a_00427,international,asien,free,2026-04-25
a_00428,technologie,gadgets,premium,2025-08-30
a_00429,international,afrika,metered,2025-03-17
a_00430,feuilleton,literatur,metered,2025-08-26
a_00431,politik,usa_politics,metered,2025-01-14
a_00432,technologie,climate_tech,metered,2025-04-27
a_00433,meinung,gastkommentar,metered,2025-03-05
a_00434,sport,eishockey,free,2024-12-17
a_00435,feuilleton,theater,metered,2025-02-02
a_00436,politik,abstimmungen,metered,2026-03-24
a_00437,wirtschaft,makro,premium,2026-04-05
a_00438,technologie,cybersecurity,metered,2026-05-04
a_00439,wirtschaft,unternehmen,metered,2024-11-16
a_00440,international,amerika,free,2026-06-15
a_00441,sport,olympia,premium,2025-05-27
a_00442,politik,abstimmungen,metered,2025-07-04
a_00443,technologie,cybersecurity,free,2025-02-18
a_00444,technologie,climate_tech,metered,2026-05-29
a_00445,wirtschaft,unternehmen,metered,2026-06-30
a_00446,lifestyle,reisen,metered,2026-01-01
a_00447,technologie,cybersecurity,metered,2024-12-16
a_00448,meinung,leitartikel,metered,2025-07-15
a_00449,politik,usa_politics,metered,2025-04-19
a_00450,sport,fussball,premium,2026-05-12
a_00451,international,europa,free,2025-12-01
a_00452,wirtschaft,immobilien,free,2026-06-11
a_00453,international,klima,free,2026-03-22
a_00454,wirtschaft,makro,metered,2025-09-21
a_00455,meinung,gastkommentar,free,2025-04-21
a_00456,sport,tennis,free,2026-02-17
a_00457,politik,bundesrat,metered,2025-12-29
a_00458,technologie,cybersecurity,premium,2026-02-15
a_00459,sport,eishockey,free,2026-05-20
a_00460,feuilleton,theater,free,2025-11-05
a_00461,wirtschaft,boerse,metered,2025-12-10
a_00462,sport,ski,metered,2025-07-15
a_00463,politik,bundesrat,free,2025-08-26
a_00464,meinung,leitartikel,premium,2025-01-21
a_00465,politik,abstimmungen,metered,2025-02-25
a_00466,wirtschaft,boerse,metered,2026-06-29
a_00467,meinung,leitartikel,metered,2025-02-17
a_00468,technologie,startups,premium,2024-12-14
a_00469,sport,eishockey,free,2026-02-28
a_00470,technologie,startups,premium,2025-01-21
a_00471,international,amerika,free,2025-08-08
a_00472,meinung,kolumne,metered,2025-06-16
a_00473,lifestyle,reisen,metered,2025-07-11
a_00474,sport,fussball,metered,2025-06-30
a_00475,feuilleton,literatur,premium,2024-11-22
a_00476,feuilleton,theater,metered,2025-04-12
a_00477,feuilleton,theater,metered,2025-11-25
a_00478,meinung,kolumne,premium,2024-12-18
a_00479,wirtschaft,makro,premium,2025-04-11
a_00480,lifestyle,essen,free,2026-04-30
a_00481,wirtschaft,banken,metered,2025-12-03
a_00482,technologie,gadgets,metered,2025-09-08
a_00483,sport,olympia,metered,2025-09-28
a_00484,technologie,gadgets,free,2026-06-12
a_00485,wirtschaft,unternehmen,free,2024-11-30
a_00486,wirtschaft,unternehmen,metered,2026-04-17
a_00487,feuilleton,literatur,premium,2025-08-18
a_00488,lifestyle,essen,metered,2025-08-27
a_00489,feuilleton,kunst,metered,2025-03-20
a_00490,feuilleton,literatur,premium,2025-06-24
a_00491,wirtschaft,banken,free,2025-09-26
a_00492,wirtschaft,unternehmen,metered,2025-04-04
a_00493,lifestyle,reisen,metered,2025-06-01
a_00494,politik,eu,metered,2026-06-26
a_00495,international,amerika,metered,2026-03-11
a_00496,lifestyle,gesundheit,premium,2025-11-03
a_00497,international,amerika,metered,2025-04-27
a_00498,meinung,leitartikel,metered,2026-03-26
a_00499,technologie,startups,metered,2026-04-05
a_00500,lifestyle,essen,metered,2026-06-21
a_00501,technologie,ki,metered,2025-12-11
a_00502,meinung,gastkommentar,premium,2025-03-16
a_00503,sport,tennis,metered,2025-06-17
a_00504,lifestyle,familie,metered,2026-05-16
a_00505,feuilleton,theater,free,2025-01-02
a_00506,meinung,gastkommentar,metered,2026-02-26
a_00507,politik,abstimmungen,metered,2025-09-01
a_00508,technologie,climate_tech,premium,2025-08-03
a_00509,wirtschaft,boerse,premium,2025-02-06
a_00510,politik,eu,premium,2026-05-30
a_00511,feuilleton,theater,metered,2025-03-07
a_00512,technologie,startups,premium,2025-10-25
a_00513,lifestyle,reisen,metered,2025-10-01
a_00514,meinung,leitartikel,metered,2025-06-27
a_00515,technologie,startups,free,2025-01-28
a_00516,wirtschaft,makro,premium,2025-02-06
a_00517,politik,nahost,premium,2025-11-22
a_00518,politik,usa_politics,metered,2026-01-16
a_00519,politik,eu,metered,2025-03-28
a_00520,feuilleton,musik,free,2026-02-13
a_00521,technologie,gadgets,free,2025-12-21
a_00522,politik,abstimmungen,premium,2025-03-06
a_00523,feuilleton,film,metered,2025-06-22
a_00524,meinung,leitartikel,metered,2025-06-14
a_00525,politik,usa_politics,metered,2025-10-03
a_00526,meinung,gastkommentar,metered,2024-12-04
a_00527,sport,fussball,premium,2026-06-01
a_00528,international,klima,premium,2025-10-05
a_00529,sport,fussball,metered,2025-12-22
a_00530,meinung,kolumne,metered,2025-10-31
a_00531,lifestyle,essen,free,2025-07-01
a_00532,technologie,ki,premium,2026-03-30
a_00533,meinung,gastkommentar,premium,2025-05-16
a_00534,technologie,climate_tech,metered,2024-11-16
a_00535,sport,ski,metered,2025-10-07
a_00536,technologie,gadgets,metered,2025-01-12
a_00537,feuilleton,theater,premium,2026-03-14
a_00538,feuilleton,musik,metered,2024-11-20
a_00539,lifestyle,essen,free,2025-03-08
a_00540,sport,olympia,premium,2026-05-28
a_00541,meinung,kolumne,metered,2025-04-09
a_00542,politik,usa_politics,metered,2025-09-08
a_00543,feuilleton,musik,free,2026-04-15
a_00544,technologie,gadgets,free,2025-03-30
a_00545,meinung,leitartikel,free,2025-05-02
a_00546,feuilleton,musik,metered,2024-11-12
a_00547,politik,abstimmungen,premium,2026-03-03
a_00548,meinung,kolumne,metered,2024-12-29
a_00549,feuilleton,kunst,premium,2026-06-17
a_00550,international,asien,metered,2026-01-12
a_00551,politik,usa_politics,free,2025-05-10
a_00552,technologie,cybersecurity,metered,2025-08-19
a_00553,sport,fussball,metered,2025-09-10
a_00554,feuilleton,musik,premium,2026-01-20
a_00555,technologie,climate_tech,metered,2025-06-14
a_00556,meinung,leitartikel,metered,2025-04-10
a_00557,politik,eu,metered,2025-01-20
a_00558,meinung,gastkommentar,premium,2025-07-25
a_00559,wirtschaft,banken,metered,2025-08-20
a_00560,lifestyle,essen,free,2025-11-14
a_00561,wirtschaft,makro,metered,2026-03-22
a_00562,lifestyle,gesundheit,premium,2025-03-09
a_00563,feuilleton,literatur,metered,2025-03-16
a_00564,feuilleton,literatur,metered,2025-04-24
a_00565,politik,abstimmungen,metered,2025-02-08
a_00566,international,amerika,metered,2025-01-25
a_00567,meinung,kolumne,metered,2026-03-01
a_00568,wirtschaft,banken,free,2026-01-07
a_00569,politik,bundesrat,metered,2026-03-19
a_00570,feuilleton,musik,metered,2025-10-20
a_00571,sport,tennis,metered,2026-03-11
a_00572,politik,bundesrat,metered,2025-07-28
a_00573,feuilleton,kunst,metered,2026-04-19
a_00574,feuilleton,kunst,metered,2025-10-11
a_00575,lifestyle,gesundheit,metered,2024-11-21
a_00576,sport,olympia,premium,2025-02-12
a_00577,politik,bundesrat,metered,2025-09-10
a_00578,wirtschaft,makro,metered,2026-03-09
a_00579,lifestyle,reisen,free,2025-01-29
a_00580,politik,usa_politics,metered,2026-02-02
a_00581,wirtschaft,banken,metered,2026-04-24
a_00582,politik,usa_politics,premium,2025-02-19
a_00583,politik,bundesrat,free,2025-10-03
a_00584,international,afrika,metered,2026-04-22
a_00585,international,asien,premium,2025-05-07
a_00586,technologie,cybersecurity,metered,2025-06-28
a_00587,politik,abstimmungen,metered,2025-07-31
a_00588,technologie,cybersecurity,free,2025-08-09
a_00589,lifestyle,familie,metered,2025-05-21
